city,data_type,week_start,week_end,days_in_week,temp_avg_c,temp_max_c,temp_min_c,precip_mm,max_gust_kmh,adverse_events
Amsterdam,historical,2025-02-17,2025-02-23,7,5.2,17.2,-4.1,6.5,52.2,
De Bilt,historical,2025-02-17,2025-02-23,7,5.2,17.4,-4.6,9.7,48.2,
Eindhoven,historical,2025-02-17,2025-02-23,7,5.7,18.1,-3.9,3.0,44.3,
Leeuwarden,historical,2025-02-17,2025-02-23,7,4.1,16.7,-5.8,7.5,48.6,
Rotterdam,historical,2025-02-17,2025-02-23,7,5.5,17.2,-3.6,10.9,43.6,
Amsterdam,historical,2025-02-24,2025-03-02,7,6.0,11.6,-2.3,13.3,44.3,
De Bilt,historical,2025-02-24,2025-03-02,7,6.1,11.6,-0.6,14.7,51.1,snow
Eindhoven,historical,2025-02-24,2025-03-02,7,6.2,13.2,-1.8,19.6,46.8,
Leeuwarden,historical,2025-02-24,2025-03-02,7,5.5,10.9,-0.2,13.3,51.5,
Rotterdam,historical,2025-02-24,2025-03-02,7,6.2,11.4,0.2,13.9,55.4,snow
Amsterdam,historical,2025-03-03,2025-03-09,7,7.0,18.5,-3.1,0.0,26.3,
De Bilt,historical,2025-03-03,2025-03-09,7,6.9,18.4,-3.8,0.0,26.3,
Eindhoven,historical,2025-03-03,2025-03-09,7,7.8,18.4,-2.0,0.0,29.2,
Leeuwarden,historical,2025-03-03,2025-03-09,7,7.0,17.8,-0.8,0.0,40.0,
Rotterdam,historical,2025-03-03,2025-03-09,7,7.5,17.5,-1.8,0.0,25.9,
Amsterdam,historical,2025-03-10,2025-03-16,7,4.3,14.4,-1.3,3.7,39.2,snow
De Bilt,historical,2025-03-10,2025-03-16,7,4.4,15.9,-1.2,3.0,38.9,snow
Eindhoven,historical,2025-03-10,2025-03-16,7,4.4,17.0,-1.9,2.7,43.9,
Leeuwarden,historical,2025-03-10,2025-03-16,7,3.7,12.5,-1.6,2.9,41.4,
Rotterdam,historical,2025-03-10,2025-03-16,7,4.9,15.6,-0.3,3.6,43.6,snow
Amsterdam,historical,2025-03-17,2025-03-23,7,9.1,20.6,-1.1,3.6,42.1,
De Bilt,historical,2025-03-17,2025-03-23,7,9.3,20.4,-1.0,0.7,48.6,
Eindhoven,historical,2025-03-17,2025-03-23,7,9.8,21.1,-0.9,1.6,46.4,
Leeuwarden,historical,2025-03-17,2025-03-23,7,7.5,18.6,-2.5,5.6,54.0,
Rotterdam,historical,2025-03-17,2025-03-23,7,9.6,19.9,-0.1,3.5,43.2,
Amsterdam,historical,2025-03-24,2025-03-30,7,8.2,13.9,1.8,1.4,59.0,
De Bilt,historical,2025-03-24,2025-03-30,7,8.3,14.1,0.9,1.9,61.9,
Eindhoven,historical,2025-03-24,2025-03-30,7,9.0,15.6,1.2,2.8,59.0,
Leeuwarden,historical,2025-03-24,2025-03-30,7,7.8,13.6,2.5,3.8,74.5,
Rotterdam,historical,2025-03-24,2025-03-30,7,8.5,14.4,2.4,1.9,60.1,
Amsterdam,historical,2025-03-31,2025-04-06,7,9.8,19.5,2.5,0.0,48.6,
De Bilt,historical,2025-03-31,2025-04-06,7,10.1,20.6,2.3,0.0,49.7,
Eindhoven,historical,2025-03-31,2025-04-06,7,11.0,22.3,2.8,0.0,56.5,
Leeuwarden,historical,2025-03-31,2025-04-06,7,8.3,17.4,1.6,0.0,46.8,
Rotterdam,historical,2025-03-31,2025-04-06,7,10.4,20.6,3.2,0.0,59.8,
Amsterdam,historical,2025-04-07,2025-04-13,7,9.7,21.0,2.3,3.6,39.6,
De Bilt,historical,2025-04-07,2025-04-13,7,10.0,20.5,1.5,3.4,49.3,
Eindhoven,historical,2025-04-07,2025-04-13,7,11.0,23.4,2.0,2.2,53.3,
Leeuwarden,historical,2025-04-07,2025-04-13,7,8.5,20.0,-0.4,3.5,50.8,
Rotterdam,historical,2025-04-07,2025-04-13,7,10.7,22.7,3.0,2.7,47.9,
Amsterdam,historical,2025-04-14,2025-04-20,7,10.7,19.7,4.1,6.2,37.1,
De Bilt,historical,2025-04-14,2025-04-20,7,10.9,19.9,4.4,18.7,34.9,heavy_rain
Eindhoven,historical,2025-04-14,2025-04-20,7,11.3,20.5,4.4,26.3,41.4,
Leeuwarden,historical,2025-04-14,2025-04-20,7,10.1,21.5,3.5,13.6,46.1,
Rotterdam,historical,2025-04-14,2025-04-20,7,11.8,20.2,5.6,2.2,44.6,
Amsterdam,historical,2025-04-21,2025-04-27,7,11.3,19.4,5.2,22.3,37.8,
De Bilt,historical,2025-04-21,2025-04-27,7,11.6,19.2,5.2,37.0,34.6,heavy_rain
Eindhoven,historical,2025-04-21,2025-04-27,7,12.1,19.8,5.6,22.3,31.7,
Leeuwarden,historical,2025-04-21,2025-04-27,7,10.0,18.5,3.8,9.9,38.2,
Rotterdam,historical,2025-04-21,2025-04-27,7,12.0,19.9,6.2,20.2,40.0,
Amsterdam,historical,2025-04-28,2025-05-04,7,14.6,26.5,7.0,0.7,41.4,
De Bilt,historical,2025-04-28,2025-05-04,7,14.9,26.1,7.2,0.7,39.6,
Eindhoven,historical,2025-04-28,2025-05-04,7,16.6,29.6,7.0,0.9,45.4,
Leeuwarden,historical,2025-04-28,2025-05-04,7,12.9,24.8,4.6,0.8,49.7,
Rotterdam,historical,2025-04-28,2025-05-04,7,16.1,28.0,7.8,0.8,45.0,
Amsterdam,historical,2025-05-05,2025-05-11,7,12.3,23.9,3.9,1.0,46.4,
De Bilt,historical,2025-05-05,2025-05-11,7,12.5,22.8,4.2,0.8,43.2,
Eindhoven,historical,2025-05-05,2025-05-11,7,13.5,25.1,4.0,0.5,49.3,
Leeuwarden,historical,2025-05-05,2025-05-11,7,11.3,23.3,5.1,0.9,50.0,
Rotterdam,historical,2025-05-05,2025-05-11,7,13.2,25.0,5.7,1.1,45.0,
Amsterdam,historical,2025-05-12,2025-05-18,7,14.5,24.0,7.0,0.3,43.9,
De Bilt,historical,2025-05-12,2025-05-18,7,14.5,23.1,6.5,1.1,44.3,
Eindhoven,historical,2025-05-12,2025-05-18,7,15.6,24.8,6.5,0.7,44.3,
Leeuwarden,historical,2025-05-12,2025-05-18,7,12.9,20.6,7.3,0.4,44.6,
Rotterdam,historical,2025-05-12,2025-05-18,7,15.1,24.0,8.4,0.8,46.4,
Amsterdam,historical,2025-05-19,2025-05-25,7,12.8,20.2,7.8,16.7,60.5,
De Bilt,historical,2025-05-19,2025-05-25,7,12.8,20.6,7.6,12.9,57.6,
Eindhoven,historical,2025-05-19,2025-05-25,7,13.8,22.5,5.8,13.3,59.0,
Leeuwarden,historical,2025-05-19,2025-05-25,7,12.1,18.8,6.9,10.7,62.3,
Rotterdam,historical,2025-05-19,2025-05-25,7,13.6,21.6,8.8,10.8,65.2,
Amsterdam,historical,2025-05-26,2025-06-01,7,15.3,24.4,9.9,32.6,54.4,heavy_rain
De Bilt,historical,2025-05-26,2025-06-01,7,15.6,24.4,9.1,49.4,52.9,heavy_rain
Eindhoven,historical,2025-05-26,2025-06-01,7,16.7,27.1,9.6,27.5,62.6,
Leeuwarden,historical,2025-05-26,2025-06-01,7,14.9,23.0,8.2,21.6,59.0,
Rotterdam,historical,2025-05-26,2025-06-01,7,15.7,24.2,10.9,29.8,63.0,heavy_rain
Amsterdam,historical,2025-06-02,2025-06-08,7,14.4,21.4,9.8,46.5,64.1,heavy_rain
De Bilt,historical,2025-06-02,2025-06-08,7,14.6,22.1,10.1,34.1,61.9,
Eindhoven,historical,2025-06-02,2025-06-08,7,15.5,23.8,9.9,24.6,63.0,
Leeuwarden,historical,2025-06-02,2025-06-08,7,13.9,21.0,9.6,85.0,64.1,heavy_rain
Rotterdam,historical,2025-06-02,2025-06-08,7,15.0,22.8,10.5,35.9,60.8,
Amsterdam,historical,2025-06-09,2025-06-15,7,17.8,29.6,9.1,8.9,60.1,
De Bilt,historical,2025-06-09,2025-06-15,7,18.1,30.3,8.9,7.8,60.1,
Eindhoven,historical,2025-06-09,2025-06-15,7,19.8,34.0,8.4,6.2,55.4,
Leeuwarden,historical,2025-06-09,2025-06-15,7,16.8,28.0,9.2,9.1,75.6,storm
Rotterdam,historical,2025-06-09,2025-06-15,7,18.1,29.7,9.6,11.9,59.0,
Amsterdam,historical,2025-06-16,2025-06-22,7,19.0,29.1,12.0,0.6,45.0,
De Bilt,historical,2025-06-16,2025-06-22,7,19.4,28.1,11.2,0.5,41.4,
Eindhoven,historical,2025-06-16,2025-06-22,7,21.9,32.2,12.1,4.7,46.1,
Leeuwarden,historical,2025-06-16,2025-06-22,7,18.0,29.1,9.8,0.4,50.4,
Rotterdam,historical,2025-06-16,2025-06-22,7,20.5,31.3,13.2,2.6,47.9,
Amsterdam,historical,2025-06-23,2025-06-29,7,19.2,24.6,14.4,10.8,63.4,
De Bilt,historical,2025-06-23,2025-06-29,7,19.4,25.1,14.1,10.6,60.5,
Eindhoven,historical,2025-06-23,2025-06-29,7,21.2,29.9,13.3,13.3,71.3,
Leeuwarden,historical,2025-06-23,2025-06-29,7,18.3,23.9,14.6,18.5,67.3,
Rotterdam,historical,2025-06-23,2025-06-29,7,19.7,25.3,14.8,13.0,66.6,
Amsterdam,historical,2025-06-30,2025-07-06,7,20.4,34.8,12.5,16.3,52.6,
De Bilt,historical,2025-06-30,2025-07-06,7,20.4,34.2,11.2,24.2,59.0,heavy_rain
Eindhoven,historical,2025-06-30,2025-07-06,7,22.7,38.1,11.4,28.8,48.6,
Leeuwarden,historical,2025-06-30,2025-07-06,7,20.0,33.2,11.4,11.3,57.6,
Rotterdam,historical,2025-06-30,2025-07-06,7,21.3,36.5,13.4,38.7,57.2,heavy_rain
Amsterdam,historical,2025-07-07,2025-07-13,7,17.8,24.9,11.9,11.4,50.0,
De Bilt,historical,2025-07-07,2025-07-13,7,17.7,24.9,12.2,11.2,46.4,
Eindhoven,historical,2025-07-07,2025-07-13,7,18.7,27.4,11.6,6.9,47.9,
Leeuwarden,historical,2025-07-07,2025-07-13,7,17.2,22.3,13.1,18.5,52.2,heavy_rain
Rotterdam,historical,2025-07-07,2025-07-13,7,18.0,24.2,12.6,9.2,50.8,
Amsterdam,historical,2025-07-14,2025-07-20,7,19.2,28.3,13.1,28.5,47.5,heavy_rain
De Bilt,historical,2025-07-14,2025-07-20,7,19.2,27.5,12.6,31.5,45.7,heavy_rain
Eindhoven,historical,2025-07-14,2025-07-20,7,21.0,32.5,12.6,11.3,54.4,
Leeuwarden,historical,2025-07-14,2025-07-20,7,19.3,27.5,12.6,39.4,43.6,heavy_rain
Rotterdam,historical,2025-07-14,2025-07-20,7,20.0,31.1,14.4,13.5,51.5,
Amsterdam,historical,2025-07-21,2025-07-27,7,18.6,23.0,14.6,31.4,44.6,
De Bilt,historical,2025-07-21,2025-07-27,7,18.6,23.8,14.0,27.9,45.0,
Eindhoven,historical,2025-07-21,2025-07-27,7,19.4,26.6,13.9,25.7,52.9,
Leeuwarden,historical,2025-07-21,2025-07-27,7,18.5,22.6,13.9,23.6,44.3,
Rotterdam,historical,2025-07-21,2025-07-27,7,18.9,23.4,15.8,25.3,46.4,
Amsterdam,historical,2025-07-28,2025-08-03,7,17.0,20.8,13.6,28.0,46.4,
De Bilt,historical,2025-07-28,2025-08-03,7,17.1,21.5,13.4,28.4,47.5,
Eindhoven,historical,2025-07-28,2025-08-03,7,17.8,24.4,13.2,15.8,49.7,
Leeuwarden,historical,2025-07-28,2025-08-03,7,16.9,20.2,14.1,24.5,55.4,
Rotterdam,historical,2025-07-28,2025-08-03,7,17.8,21.7,13.4,22.6,51.5,
Amsterdam,historical,2025-08-04,2025-08-10,7,18.0,22.4,12.2,10.1,65.5,
De Bilt,historical,2025-08-04,2025-08-10,7,18.2,23.3,11.8,5.5,52.9,
Eindhoven,historical,2025-08-04,2025-08-10,7,19.6,26.9,12.2,5.5,55.4,
Leeuwarden,historical,2025-08-04,2025-08-10,7,17.4,23.5,12.1,9.4,64.1,
Rotterdam,historical,2025-08-04,2025-08-10,7,18.7,24.5,12.6,6.3,60.5,
Amsterdam,historical,2025-08-11,2025-08-17,7,20.5,30.5,12.1,1.9,37.4,
De Bilt,historical,2025-08-11,2025-08-17,7,20.8,30.1,11.8,1.9,37.8,
Eindhoven,historical,2025-08-11,2025-08-17,7,23.1,34.5,11.1,0.7,40.3,
Leeuwarden,historical,2025-08-11,2025-08-17,7,20.3,31.9,10.5,1.4,40.7,
Rotterdam,historical,2025-08-11,2025-08-17,7,21.5,30.6,13.2,3.3,40.0,
Amsterdam,historical,2025-08-18,2025-08-24,7,16.6,24.5,9.2,2.0,40.7,
De Bilt,historical,2025-08-18,2025-08-24,7,16.7,25.5,8.6,2.4,45.0,
Eindhoven,historical,2025-08-18,2025-08-24,7,18.2,28.9,7.7,0.5,49.3,
Leeuwarden,historical,2025-08-18,2025-08-24,7,16.4,23.0,10.8,1.2,45.4,
Rotterdam,historical,2025-08-18,2025-08-24,7,17.8,26.7,10.8,1.4,47.2,
Amsterdam,historical,2025-08-25,2025-08-31,7,17.9,26.1,10.4,10.7,45.4,
De Bilt,historical,2025-08-25,2025-08-31,7,17.8,26.4,9.1,4.2,50.8,
Eindhoven,historical,2025-08-25,2025-08-31,7,19.2,29.2,8.7,11.7,51.5,
Leeuwarden,historical,2025-08-25,2025-08-31,7,18.0,25.2,11.2,12.0,44.6,
Rotterdam,historical,2025-08-25,2025-08-31,7,18.5,28.9,11.5,16.3,52.9,
Amsterdam,historical,2025-09-01,2025-09-07,7,17.7,25.7,10.6,9.3,64.1,
De Bilt,historical,2025-09-01,2025-09-07,7,17.7,25.2,9.7,8.4,76.0,storm
Eindhoven,historical,2025-09-01,2025-09-07,7,18.4,27.6,10.2,7.8,68.4,
Leeuwarden,historical,2025-09-01,2025-09-07,7,17.2,25.2,9.7,16.0,66.6,
Rotterdam,historical,2025-09-01,2025-09-07,7,18.0,27.0,11.3,8.5,76.7,storm
Amsterdam,historical,2025-09-08,2025-09-14,7,14.9,21.0,8.6,24.1,55.4,
De Bilt,historical,2025-09-08,2025-09-14,7,15.2,22.0,8.9,33.8,55.4,heavy_rain
Eindhoven,historical,2025-09-08,2025-09-14,7,15.9,26.0,9.8,52.8,59.0,heavy_rain
Leeuwarden,historical,2025-09-08,2025-09-14,7,14.7,20.9,9.0,32.6,57.6,
Rotterdam,historical,2025-09-08,2025-09-14,7,15.7,21.9,10.9,19.7,58.3,
Amsterdam,historical,2025-09-15,2025-09-21,7,16.7,24.0,11.6,44.0,84.6,heavy_rain|storm
De Bilt,historical,2025-09-15,2025-09-21,7,16.5,24.4,11.4,32.1,78.5,storm
Eindhoven,historical,2025-09-15,2025-09-21,7,17.4,25.9,11.4,10.1,73.8,
Leeuwarden,historical,2025-09-15,2025-09-21,7,16.5,23.0,11.9,43.1,83.9,heavy_rain|storm
Rotterdam,historical,2025-09-15,2025-09-21,7,17.0,25.5,12.1,18.3,83.2,storm
Amsterdam,historical,2025-09-22,2025-09-28,7,12.1,18.3,7.6,0.5,57.2,
De Bilt,historical,2025-09-22,2025-09-28,7,12.0,18.5,7.2,0.6,52.6,
Eindhoven,historical,2025-09-22,2025-09-28,7,12.1,19.3,7.3,0.8,54.7,
Leeuwarden,historical,2025-09-22,2025-09-28,7,12.2,18.4,6.7,1.4,49.3,
Rotterdam,historical,2025-09-22,2025-09-28,7,12.3,18.6,7.8,0.9,55.1,
Amsterdam,historical,2025-09-29,2025-10-05,7,12.0,17.2,6.6,56.3,72.0,heavy_rain
De Bilt,historical,2025-09-29,2025-10-05,7,11.9,17.6,6.2,48.9,74.9,heavy_rain
Eindhoven,historical,2025-09-29,2025-10-05,7,12.2,18.8,6.6,26.4,70.2,heavy_rain
Leeuwarden,historical,2025-09-29,2025-10-05,7,11.8,17.1,6.8,45.0,78.5,storm
Rotterdam,historical,2025-09-29,2025-10-05,7,12.7,17.6,7.9,37.5,81.4,storm
Amsterdam,historical,2025-10-06,2025-10-12,7,14.3,17.6,10.1,2.4,37.8,
De Bilt,historical,2025-10-06,2025-10-12,7,14.1,17.8,9.8,2.9,42.5,
Eindhoven,historical,2025-10-06,2025-10-12,7,14.1,17.8,10.4,1.2,41.4,
Leeuwarden,historical,2025-10-06,2025-10-12,7,14.1,17.9,11.5,3.4,46.8,
Rotterdam,historical,2025-10-06,2025-10-12,7,14.3,17.5,11.5,1.6,47.2,
Amsterdam,historical,2025-10-13,2025-10-19,7,12.1,16.4,6.6,3.3,35.3,
De Bilt,historical,2025-10-13,2025-10-19,7,12.1,16.0,6.7,2.3,36.7,
Eindhoven,historical,2025-10-13,2025-10-19,7,12.0,15.8,7.3,2.7,31.7,
Leeuwarden,historical,2025-10-13,2025-10-19,7,11.9,15.8,5.3,3.0,43.2,
Rotterdam,historical,2025-10-13,2025-10-19,7,12.6,16.2,8.1,2.1,38.9,
Amsterdam,historical,2025-10-20,2025-10-26,7,11.4,16.6,6.8,67.1,75.2,storm
De Bilt,historical,2025-10-20,2025-10-26,7,11.2,16.9,5.9,52.4,72.0,heavy_rain
Eindhoven,historical,2025-10-20,2025-10-26,7,11.2,18.0,5.2,35.5,72.7,
Leeuwarden,historical,2025-10-20,2025-10-26,7,11.2,16.2,7.7,63.8,78.5,heavy_rain|snow|storm
Rotterdam,historical,2025-10-20,2025-10-26,7,11.5,16.4,6.3,57.5,76.0,storm
Amsterdam,historical,2025-10-27,2025-11-02,7,10.8,13.4,8.1,44.1,58.7,heavy_rain
De Bilt,historical,2025-10-27,2025-11-02,7,10.6,13.4,7.6,45.7,59.4,heavy_rain
Eindhoven,historical,2025-10-27,2025-11-02,7,10.7,14.2,7.2,21.3,63.4,
Leeuwarden,historical,2025-10-27,2025-11-02,7,10.5,13.2,7.7,35.3,64.8,
Rotterdam,historical,2025-10-27,2025-11-02,7,11.1,13.6,8.4,38.6,60.5,heavy_rain
Amsterdam,historical,2025-11-03,2025-11-09,7,11.3,15.9,6.1,0.7,52.6,
De Bilt,historical,2025-11-03,2025-11-09,7,11.1,16.1,5.8,0.9,47.9,
Eindhoven,historical,2025-11-03,2025-11-09,7,11.2,16.9,6.0,1.5,53.3,
Leeuwarden,historical,2025-11-03,2025-11-09,7,10.9,16.0,6.0,1.3,59.8,
Rotterdam,historical,2025-11-03,2025-11-09,7,11.7,15.9,6.9,0.2,58.0,
Amsterdam,historical,2025-11-10,2025-11-16,7,9.8,15.2,3.0,26.5,41.4,
De Bilt,historical,2025-11-10,2025-11-16,7,9.9,14.9,2.7,22.6,43.2,
Eindhoven,historical,2025-11-10,2025-11-16,7,11.0,15.9,4.6,11.5,41.4,
Leeuwarden,historical,2025-11-10,2025-11-16,7,9.1,15.6,4.3,38.0,53.6,heavy_rain
Rotterdam,historical,2025-11-10,2025-11-16,7,10.5,14.9,4.2,21.4,48.6,
Amsterdam,historical,2025-11-17,2025-11-23,7,3.1,7.7,-0.8,27.8,47.9,snow
De Bilt,historical,2025-11-17,2025-11-23,7,2.9,7.4,-0.9,19.1,52.2,snow
Eindhoven,historical,2025-11-17,2025-11-23,7,2.6,6.9,-2.3,8.1,49.0,snow
Leeuwarden,historical,2025-11-17,2025-11-23,7,3.2,7.7,-1.8,30.4,53.6,snow
Rotterdam,historical,2025-11-17,2025-11-23,7,3.5,7.8,-0.6,31.5,51.1,snow
Amsterdam,historical,2025-11-24,2025-11-30,7,5.8,10.8,-1.0,5.9,47.5,
De Bilt,historical,2025-11-24,2025-11-30,7,5.9,10.4,1.1,18.0,46.4,snow
Eindhoven,historical,2025-11-24,2025-11-30,7,5.8,10.9,0.9,13.9,48.6,
Leeuwarden,historical,2025-11-24,2025-11-30,7,5.8,9.9,-1.5,8.1,57.6,
Rotterdam,historical,2025-11-24,2025-11-30,7,6.3,10.9,-0.2,4.0,46.1,
Amsterdam,historical,2025-12-01,2025-12-07,7,6.6,13.1,2.2,18.9,56.5,
De Bilt,historical,2025-12-01,2025-12-07,7,6.8,13.3,2.7,14.2,58.3,
Eindhoven,historical,2025-12-01,2025-12-07,7,6.9,13.8,2.0,23.1,54.7,
Leeuwarden,historical,2025-12-01,2025-12-07,7,6.2,11.4,2.4,16.2,60.8,
Rotterdam,historical,2025-12-01,2025-12-07,7,6.9,13.6,2.0,14.2,67.7,
Amsterdam,historical,2025-12-08,2025-12-14,7,9.5,13.6,4.0,5.3,58.7,
De Bilt,historical,2025-12-08,2025-12-14,7,9.2,13.4,3.8,4.2,56.2,
Eindhoven,historical,2025-12-08,2025-12-14,7,9.3,14.1,2.8,8.6,55.8,
Leeuwarden,historical,2025-12-08,2025-12-14,7,9.0,12.7,4.0,7.4,64.1,
Rotterdam,historical,2025-12-08,2025-12-14,7,9.6,13.4,4.4,3.6,60.8,
Amsterdam,historical,2025-12-15,2025-12-21,7,7.8,13.1,2.9,7.2,54.0,
De Bilt,historical,2025-12-15,2025-12-21,7,7.9,13.1,2.7,4.9,54.0,
Eindhoven,historical,2025-12-15,2025-12-21,7,8.0,13.4,1.3,8.5,51.8,
Leeuwarden,historical,2025-12-15,2025-12-21,7,7.3,12.6,3.5,6.2,65.9,
Rotterdam,historical,2025-12-15,2025-12-21,7,8.2,13.1,3.4,6.6,58.0,
Amsterdam,historical,2025-12-22,2025-12-28,7,1.6,6.9,-4.1,0.0,56.2,
De Bilt,historical,2025-12-22,2025-12-28,7,1.3,7.3,-4.8,0.0,50.8,
Eindhoven,historical,2025-12-22,2025-12-28,7,1.2,7.2,-4.6,0.0,51.1,
Leeuwarden,historical,2025-12-22,2025-12-28,7,1.4,6.8,-4.8,0.0,54.7,
Rotterdam,historical,2025-12-22,2025-12-28,7,1.8,7.3,-4.0,0.0,56.2,
Amsterdam,historical,2025-12-29,2026-01-04,7,2.9,6.7,-1.8,32.7,59.8,snow
De Bilt,historical,2025-12-29,2026-01-04,7,1.9,5.5,-2.2,42.1,54.0,snow
Eindhoven,historical,2025-12-29,2026-01-04,7,1.0,4.5,-2.9,16.0,54.4,snow
Leeuwarden,historical,2025-12-29,2026-01-04,7,3.6,7.7,0.1,36.4,70.2,snow
Rotterdam,historical,2025-12-29,2026-01-04,7,2.8,6.2,-2.0,19.2,57.6,snow
Amsterdam,historical,2026-01-05,2026-01-11,7,-0.7,2.8,-6.9,26.8,55.1,snow
De Bilt,historical,2026-01-05,2026-01-11,7,-1.3,3.5,-7.2,24.1,55.4,snow
Eindhoven,historical,2026-01-05,2026-01-11,7,-0.9,4.2,-6.4,27.9,55.4,snow
Leeuwarden,historical,2026-01-05,2026-01-11,7,-1.4,2.2,-8.4,34.2,64.1,snow
Rotterdam,historical,2026-01-05,2026-01-11,7,-0.1,3.6,-4.7,35.4,60.5,snow
Amsterdam,historical,2026-01-12,2026-01-18,7,6.2,10.9,0.8,15.7,53.3,
De Bilt,historical,2026-01-12,2026-01-18,7,6.2,11.1,0.6,14.8,50.8,snow
Eindhoven,historical,2026-01-12,2026-01-18,7,7.3,11.9,0.9,14.8,49.3,snow
Leeuwarden,historical,2026-01-12,2026-01-18,7,4.9,9.8,-0.5,23.9,57.2,snow
Rotterdam,historical,2026-01-12,2026-01-18,7,6.9,11.0,1.4,17.0,52.6,
Amsterdam,historical,2026-01-19,2026-01-25,7,2.5,7.4,-1.9,2.0,33.5,
De Bilt,historical,2026-01-19,2026-01-25,7,2.7,7.4,-2.2,0.8,36.4,
Eindhoven,historical,2026-01-19,2026-01-25,7,3.0,9.6,-2.1,1.0,34.9,
Leeuwarden,historical,2026-01-19,2026-01-25,7,0.1,4.8,-3.5,3.0,45.7,snow
Rotterdam,historical,2026-01-19,2026-01-25,7,3.8,8.3,-1.5,1.3,38.2,
Amsterdam,historical,2026-01-26,2026-02-01,7,2.2,8.3,-2.0,10.3,39.2,snow
De Bilt,historical,2026-01-26,2026-02-01,7,2.5,8.7,-2.3,10.0,40.3,snow
Eindhoven,historical,2026-01-26,2026-02-01,7,2.9,9.4,-2.2,9.0,34.2,snow
Leeuwarden,historical,2026-01-26,2026-02-01,7,0.2,3.4,-2.0,12.2,50.8,snow
Rotterdam,historical,2026-01-26,2026-02-01,7,2.9,9.9,-2.2,11.1,39.2,snow
Amsterdam,historical,2026-02-02,2026-02-08,7,3.2,11.3,-3.0,2.6,40.0,
De Bilt,historical,2026-02-02,2026-02-08,7,3.9,11.4,-2.5,2.7,40.7,
Eindhoven,historical,2026-02-02,2026-02-08,7,5.2,12.1,0.3,8.6,47.2,
Leeuwarden,historical,2026-02-02,2026-02-08,7,-0.3,6.1,-5.8,3.9,67.3,
Rotterdam,historical,2026-02-02,2026-02-08,7,4.8,11.7,-1.2,5.4,42.1,
Amsterdam,historical,2026-02-09,2026-02-15,7,3.5,10.1,-3.0,17.0,42.1,snow
De Bilt,historical,2026-02-09,2026-02-15,7,3.7,10.1,-3.7,14.2,45.7,snow
Eindhoven,historical,2026-02-09,2026-02-15,7,4.4,11.3,-4.1,25.4,47.9,snow
Leeuwarden,historical,2026-02-09,2026-02-15,7,1.9,7.7,-3.8,16.7,51.1,snow
Rotterdam,historical,2026-02-09,2026-02-15,7,4.2,10.5,-2.3,16.5,45.0,snow
Amsterdam,historical,2026-02-16,2026-02-22,7,5.2,11.7,0.2,23.3,58.3,snow
De Bilt,historical,2026-02-16,2026-02-22,7,5.0,11.8,0.4,34.9,60.1,snow
Eindhoven,historical,2026-02-16,2026-02-22,7,5.3,12.1,0.1,32.7,57.6,snow
Leeuwarden,historical,2026-02-16,2026-02-22,7,3.8,10.9,-2.5,23.7,61.9,snow
Rotterdam,historical,2026-02-16,2026-02-22,7,5.4,11.6,0.3,24.9,62.6,snow
Amsterdam,historical,2026-02-23,2026-03-01,7,10.2,16.8,3.8,24.5,61.2,snow
De Bilt,historical,2026-02-23,2026-03-01,7,10.4,16.9,3.8,15.6,69.5,
Eindhoven,historical,2026-02-23,2026-03-01,7,11.1,18.1,3.8,10.4,71.3,
Leeuwarden,historical,2026-02-23,2026-03-01,7,9.5,15.6,3.8,14.7,69.8,
Rotterdam,historical,2026-02-23,2026-03-01,7,10.3,17.5,4.4,12.6,69.5,
Amsterdam,historical,2026-03-02,2026-03-08,7,9.5,17.5,3.2,0.1,33.1,
De Bilt,historical,2026-03-02,2026-03-08,7,9.6,17.5,3.2,0.0,34.2,
Eindhoven,historical,2026-03-02,2026-03-08,7,10.5,18.7,4.0,0.0,31.7,
Leeuwarden,historical,2026-03-02,2026-03-08,7,8.4,16.6,1.6,1.3,46.1,
Rotterdam,historical,2026-03-02,2026-03-08,7,10.0,17.8,4.3,0.0,33.8,
Amsterdam,historical,2026-03-09,2026-03-15,7,7.9,15.9,1.8,19.5,69.5,
De Bilt,historical,2026-03-09,2026-03-15,7,7.9,16.2,0.8,16.8,69.1,snow
Eindhoven,historical,2026-03-09,2026-03-15,7,8.1,18.1,-0.1,27.8,61.9,
Leeuwarden,historical,2026-03-09,2026-03-15,7,7.2,14.7,1.2,21.1,82.4,storm
Rotterdam,historical,2026-03-09,2026-03-15,7,8.3,16.5,2.9,16.6,78.1,storm
Amsterdam,historical,2026-03-16,2026-03-22,7,8.3,15.6,1.8,9.3,55.4,snow
De Bilt,historical,2026-03-16,2026-03-22,7,8.4,15.9,1.6,6.7,51.5,snow
Eindhoven,historical,2026-03-16,2026-03-22,7,8.9,16.1,2.5,4.8,50.8,
Leeuwarden,historical,2026-03-16,2026-03-22,7,7.3,14.2,1.6,5.6,56.9,
Rotterdam,historical,2026-03-16,2026-03-22,7,8.9,15.5,2.7,7.8,59.8,
Amsterdam,historical,2026-03-23,2026-03-29,7,6.8,13.6,0.1,36.3,77.4,snow|storm
De Bilt,historical,2026-03-23,2026-03-29,7,6.8,14.0,-0.3,26.1,76.3,snow|storm
Eindhoven,historical,2026-03-23,2026-03-29,7,7.0,16.0,-0.8,14.7,68.4,snow
