prediction_week,scenario,FORECAST_POINT,START_OF_WEEK,FORECAST_DISTANCE,SKILL_OFFERED_SUM (actual)_PREDICTION,EXPLANATION_1_FEATURE_NAME,EXPLANATION_1_STRENGTH,EXPLANATION_1_ACTUAL_VALUE,EXPLANATION_1_QUALITATIVE_STRENGTH,EXPLANATION_2_FEATURE_NAME,EXPLANATION_2_STRENGTH,EXPLANATION_2_ACTUAL_VALUE,EXPLANATION_2_QUALITATIVE_STRENGTH,EXPLANATION_3_FEATURE_NAME,EXPLANATION_3_STRENGTH,EXPLANATION_3_ACTUAL_VALUE,EXPLANATION_3_QUALITATIVE_STRENGTH,EXPLANATION_4_FEATURE_NAME,EXPLANATION_4_STRENGTH,EXPLANATION_4_ACTUAL_VALUE,EXPLANATION_4_QUALITATIVE_STRENGTH,EXPLANATION_5_FEATURE_NAME,EXPLANATION_5_STRENGTH,EXPLANATION_5_ACTUAL_VALUE,EXPLANATION_5_QUALITATIVE_STRENGTH,EXPLANATION_6_FEATURE_NAME,EXPLANATION_6_STRENGTH,EXPLANATION_6_ACTUAL_VALUE,EXPLANATION_6_QUALITATIVE_STRENGTH,EXPLANATION_7_FEATURE_NAME,EXPLANATION_7_STRENGTH,EXPLANATION_7_ACTUAL_VALUE,EXPLANATION_7_QUALITATIVE_STRENGTH,EXPLANATION_8_FEATURE_NAME,EXPLANATION_8_STRENGTH,EXPLANATION_8_ACTUAL_VALUE,EXPLANATION_8_QUALITATIVE_STRENGTH,EXPLANATION_9_FEATURE_NAME,EXPLANATION_9_STRENGTH,EXPLANATION_9_ACTUAL_VALUE,EXPLANATION_9_QUALITATIVE_STRENGTH,EXPLANATION_10_FEATURE_NAME,EXPLANATION_10_STRENGTH,EXPLANATION_10_ACTUAL_VALUE,EXPLANATION_10_QUALITATIVE_STRENGTH,DEPLOYMENT_APPROVAL_STATUS,ASSOCIATION_ID,forecast_step,YEAR,MONTH,DAY_OF_YEAR,WEEK_OF_YEAR,SKILL,SKILL_OFFERED_SUM,ASA,Nieuwjaarsdag,1e Paasdag,2e Paasdag,Koningsdag,Hemelvaartsdag,1e Pinksterdag,2e Pinksterdag,1e Kerstdag,2e Kerstdag,Bevrijdingsdag,Holidays,Voorjaar,Mei,Zomer,Herfst,Kerst,Vacations,Black Friday,Cyber Monday,SpecialDays,NEW CUSTOMER,MIGRATION WITH CPE,MIGRATION WITHOU CPE,CHURN,TECH SWAP,MSTB,ADDON,BASE/STEADY,BASE,MESSAGINGINDICATOR
2024-09-02,actual,2024-09-02T00:00:00Z,2024-09-30,4,44635.05078125,ADDON (actual),1397.8984375,2552.0,+++,DAY_OF_YEAR (actual),-822.6734375,274.0,--,ASA (actual),-756.859375,63.0,--,START_OF_WEEK (Day of Month) (actual),716.116796875,30.0,++,SKILL_OFFERED_SUM (4th lag),647.31796875,39693.0,++,SKILL_OFFERED_SUM (3rd lag),-502.066796875,39024.0,--,SKILL_OFFERED_SUM (naive latest value),492.57265625,40836.0,++,NEW CUSTOMER (actual),470.590234375,9101.0,++,SKILL_OFFERED_SUM (6 week mean),430.500390625,38646.5,++,TECH SWAP (actual),-420.919921875,3120.0,--,APPROVED,TECH_2024-09-30,4,2024,9,274,40,TECH,,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9101,6282,6607,9947,3120,1954,2552,"2966638,571","3006201,571",10
2024-09-02,actual,2024-09-02T00:00:00Z,2024-10-07,5,42081.1875,DAY_OF_YEAR (actual),-1538.081640625,281.0,---,SKILL_OFFERED_SUM (3rd lag),-712.758203125,39024.0,--,NEW CUSTOMER (actual),615.192578125,6678.0,++,CHURN (actual),554.564453125,8284.0,++,START_OF_WEEK (Day of Month) (actual),-514.660546875,7.0,--,SKILL_OFFERED_SUM (5th lag),462.535546875,37343.0,++,ASA (actual),-337.42109375,48.0,--,SKILL_OFFERED_SUM (4th lag),327.393359375,39693.0,++,SKILL_OFFERED_SUM (acceleration),-291.838671875,16195.0,--,SKILL_OFFERED_SUM (6 week median),-272.3234375,38815.5,-,APPROVED,TECH_2024-10-07,5,2024,10,281,41,TECH,,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6678,8935,6163,8284,3044,1756,1867,"2945312,143","2982039,143",10
2024-09-02,actual,2024-09-02T00:00:00Z,2024-10-14,6,42527.58203125,MIGRATION WITH CPE (actual),-1132.295703125,7650.0,---,DAY_OF_YEAR (actual),1016.373828125,288.0,++,SKILL_OFFERED_SUM (2nd lag),-729.72890625,36376.0,--,START_OF_WEEK (Day of Month) (actual),-502.711328125,14.0,--,SKILL_OFFERED_SUM (5th lag),408.78125,37343.0,++,ASA (actual),-398.82578125,59.0,--,SKILL_OFFERED_SUM (6 week max),383.46796875,40836.0,++,SKILL_OFFERED_SUM (4th lag),362.716015625,39693.0,++,NEW CUSTOMER (actual),362.016015625,7064.0,++,CHURN (actual),-331.24296875,9080.0,--,APPROVED,TECH_2024-10-14,6,2024,10,288,42,TECH,,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,7064,7650,7231,9080,2935,1639,1654,"2944729,857","2981982,857",10
2024-09-02,actual,2024-09-02T00:00:00Z,2024-10-21,7,43171.70703125,DAY_OF_YEAR (actual),2134.090234375,295.0,+++,MIGRATION WITH CPE (actual),-980.47890625,9099.0,--,ADDON (actual),-818.68046875,1587.0,--,ASA (actual),-754.56796875,83.0,--,NEW CUSTOMER (actual),-726.51015625,7627.0,--,CHURN (actual),-655.896484375,9524.0,--,SKILL_OFFERED_SUM (2nd lag),-461.4484375,36376.0,--,START_OF_WEEK (Month) (actual),449.286328125,10.0,++,SKILL_OFFERED_SUM (5th lag),-433.09765625,37343.0,--,SKILL_OFFERED_SUM (4th lag),400.426171875,39693.0,++,APPROVED,TECH_2024-10-21,7,2024,10,295,43,TECH,,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24,0,0,0,7627,9099,6551,9524,2935,1643,1587,"2937144,571","2976110,571",10
2024-09-02,actual,2024-09-02T00:00:00Z,2024-10-28,8,47197.90625,DAY_OF_YEAR (actual),3625.945703125,302.0,+++,MIGRATION WITH CPE (actual),-1098.901953125,8777.0,--,START_OF_WEEK (Day of Month) (actual),999.8171875,28.0,++,ADDON (actual),-972.609375,1592.0,--,SKILL_OFFERED_SUM (4th lag),806.033984375,39693.0,++,TECH SWAP (actual),757.336328125,6493.0,++,SKILL_OFFERED_SUM (6 week max),-490.660546875,40836.0,-,SKILL_OFFERED_SUM (2nd lag),-467.780078125,36376.0,-,START_OF_WEEK (Month) (actual),376.675,10.0,+,WEEK_OF_YEAR (6 week mean),367.100390625,33.5,+,APPROVED,TECH_2024-10-28,8,2024,10,302,44,TECH,,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,34,0,0,0,9502,8777,6719,10945,6493,1671,1592,"2928245,429","2973944,429",10
2024-09-02,actual,2024-09-02T00:00:00Z,2024-11-04,9,44365.53125,ASA (actual),-2745.7640625,29.0,---,DAY_OF_YEAR (actual),2044.469921875,309.0,+++,MIGRATION WITH CPE (actual),752.205078125,10510.0,++,NEW CUSTOMER (actual),-610.78359375,7532.0,--,SKILL_OFFERED_SUM (6 week max),-410.776953125,40836.0,-,SKILL_OFFERED_SUM (5th lag),396.575390625,37343.0,+,SKILL_OFFERED_SUM (4th lag),359.139453125,39693.0,+,SKILL_OFFERED_SUM (naive latest value),319.472265625,40836.0,+,YEAR (6 week mean),318.2996085937,2024.0,+,SKILL_OFFERED_SUM (acceleration),-316.809375,16195.0,-,APPROVED,TECH_2024-11-04,9,2024,11,309,45,TECH,,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7532,10510,6339,8862,3015,1618,1663,"2924862,857","2964401,857",10
2024-09-02,actual,2024-09-02T00:00:00Z,2024-11-11,10,40380.703125,ASA (actual),-2450.896875,29.0,---,DAY_OF_YEAR (actual),1841.953125,316.0,++,MIGRATION WITH CPE (actual),-1738.020703125,8037.0,--,TECH SWAP (actual),-902.150390625,1911.0,--,NEW CUSTOMER (actual),-643.026953125,7423.0,--,CHURN (actual),-499.494140625,10109.0,--,SKILL_OFFERED_SUM (5th lag),-450.148828125,37343.0,-,ADDON (actual),-405.103515625,1675.0,-,SKILL_OFFERED_SUM (6 week median),-403.131640625,38815.5,-,SKILL_OFFERED_SUM (6 week mean),-379.322265625,38646.5,-,APPROVED,TECH_2024-11-11,10,2024,11,316,46,TECH,,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7423,8037,6298,10109,1911,1659,1675,"2918502,857","2955614,857",10
2024-09-02,actual,2024-09-02T00:00:00Z,2024-11-18,11,46417.20703125,DAY_OF_YEAR (actual),2705.185546875,323.0,+++,ASA (actual),1059.984375,130.0,++,SKILL_OFFERED_SUM (6 week max),821.192578125,40836.0,++,TECH SWAP (actual),-780.3796875,3984.0,--,SKILL_OFFERED_SUM (2nd lag),-608.396484375,36376.0,--,CHURN (actual),445.1671875,9230.0,++,NEW CUSTOMER (actual),-391.97109375,7702.0,-,SKILL_OFFERED_SUM (6 week mean),376.323828125,38646.5,+,MIGRATION WITH CPE (actual),370.641796875,4955.0,+,WEEK_OF_YEAR (6 week mean),-361.419921875,33.5,-,APPROVED,TECH_2024-11-18,11,2024,11,323,47,TECH,,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7702,4955,7002,9230,3984,1571,1708,"2912587,571","2948739,571",10
2024-09-02,actual,2024-09-02T00:00:00Z,2024-11-25,12,46023.2109375,DAY_OF_YEAR (actual),1687.5703125,330.0,+++,SKILL_OFFERED_SUM (6 week max),1033.6796875,40836.0,++,SKILL_OFFERED_SUM (6 week std),-484.01328125,1605.4545462267065,--,NEW CUSTOMER (actual),472.430078125,8907.0,++,MIGRATION WITH CPE (actual),456.178515625,4871.0,++,SKILL_OFFERED_SUM (4th lag),431.38203125,39693.0,++,MIGRATION WITHOU CPE (actual),392.00234375,7528.0,++,TECH SWAP (actual),-377.725390625,1971.0,--,SKILL_OFFERED_SUM (2nd lag),-369.21875,36376.0,--,ASA (actual),353.74609375,115.0,++,APPROVED,TECH_2024-11-25,12,2024,11,330,48,TECH,,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,8907,4871,7528,11420,1971,1657,1610,2902309,2940273,10
2024-09-02,actual,2024-09-02T00:00:00Z,2024-12-02,13,45353.1171875,DAY_OF_YEAR (actual),2349.6015625,337.0,+++,SKILL_OFFERED_SUM (5th lag),1041.366015625,37343.0,++,SKILL_OFFERED_SUM (2nd lag),-555.264453125,36376.0,--,MSTB (actual),552.708203125,1704.0,++,MIGRATION WITH CPE (actual),-514.32109375,7216.0,--,CHURN (actual),-439.4734375,9058.0,--,START_OF_WEEK (Month) (actual),422.435546875,12.0,++,SKILL_OFFERED_SUM (6 week mean),410.362109375,38646.5,++,ASA (actual),-336.534765625,83.0,-,YEAR (6 week mean),318.2950289063,2024.0,+,APPROVED,TECH_2024-12-02,13,2024,12,337,49,TECH,,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,9551,7216,6479,9058,2839,1704,1604,"2891460,571","2929911,571",10
2024-09-09,planned,2024-09-09T00:00:00Z,2024-09-16,1,41655.140625,DAY_OF_YEAR (actual),-1216.062890625,260.0,---,ASA (actual),-607.992578125,65.0,--,SKILL_OFFERED_SUM (6 week median),-506.67421875,39358.5,--,NEW CUSTOMER (actual),495.194921875,6596.0,++,SKILL_OFFERED_SUM (acceleration),487.88671875,-11538.0,++,MIGRATION WITH CPE (actual),448.246484375,6790.0,++,SKILL_OFFERED_SUM (6 week mean),386.022265625,39392.16666666666,++,SKILL_OFFERED_SUM (5th lag),-380.076171875,39693.0,--,SKILL_OFFERED_SUM (velocity),-365.98828125,-1970.1666666666715,--,MIGRATION WITHOU CPE (actual),-341.477734375,6420.0,--,APPROVED,TECH_2024-09-16,1,2024,9,260,38,TECH,,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6596,6790,6420,7876,1923,1551,1721,"2985252,857","3018129,857",10
2024-09-09,planned,2024-09-09T00:00:00Z,2024-09-23,2,41777.625,DAY_OF_YEAR (actual),-1204.726171875,267.0,--,ADDON (actual),847.505859375,3687.0,++,NEW CUSTOMER (actual),-840.212890625,7541.0,--,ASA (actual),-821.854296875,65.0,--,SKILL_OFFERED_SUM (5th lag),-456.0515625,39693.0,--,SKILL_OFFERED_SUM (naive latest value),-418.662890625,43081.0,--,TECH SWAP (actual),385.285546875,2048.0,++,WEEK_OF_YEAR (6 week mean),373.496875,34.5,++,SKILL_OFFERED_SUM (6 week std),348.937109375,2417.210741053967,++,SKILL_OFFERED_SUM (acceleration),332.925,-11538.0,++,APPROVED,TECH_2024-09-23,2,2024,9,267,39,TECH,,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7541,8553,6194,8138,2048,1726,3687,"2975183,571","3013070,571",10
2024-09-09,planned,2024-09-09T00:00:00Z,2024-09-30,3,44668.62109375,ADDON (actual),1474.003515625,2552.0,+++,DAY_OF_YEAR (actual),-900.244140625,274.0,--,NEW CUSTOMER (actual),693.119921875,9101.0,++,MIGRATION WITH CPE (actual),674.273828125,6282.0,++,SKILL_OFFERED_SUM (5th lag),-560.188671875,39693.0,--,SKILL_OFFERED_SUM (6 week mean),540.730078125,39392.16666666666,++,ASA (actual),-535.16796875,63.0,--,MSTB (actual),516.9578125,1954.0,++,SKILL_OFFERED_SUM (6 week std),-502.51171875,2417.210741053967,--,TECH SWAP (actual),-466.128125,3120.0,--,APPROVED,TECH_2024-09-30,3,2024,9,274,40,TECH,,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9101,6282,6607,9947,3120,1954,2552,"2966638,571","3006201,571",10
2024-09-09,planned,2024-09-09T00:00:00Z,2024-10-07,4,42374.28125,DAY_OF_YEAR (actual),-1586.069140625,281.0,---,NEW CUSTOMER (actual),772.216796875,6678.0,++,SKILL_OFFERED_SUM (3rd lag),-577.327734375,36376.0,--,CHURN (actual),562.88203125,8284.0,++,ASA (actual),-528.324609375,48.0,--,SKILL_OFFERED_SUM (velocity),-472.368359375,-1970.1666666666715,--,SKILL_OFFERED_SUM (6 week median),-462.66953125,39358.5,--,MIGRATION WITH CPE (actual),429.99921875,8935.0,++,START_OF_WEEK (Month) (actual),410.14765625,10.0,++,SKILL_OFFERED_SUM (5th lag),-267.655078125,39693.0,-,APPROVED,TECH_2024-10-07,4,2024,10,281,41,TECH,,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6678,8935,6163,8284,3044,1756,1867,"2945312,143","2982039,143",10
2024-09-09,planned,2024-09-09T00:00:00Z,2024-10-14,5,42478.34375,DAY_OF_YEAR (actual),903.33828125,288.0,++,MIGRATION WITH CPE (actual),-902.801953125,7650.0,--,SKILL_OFFERED_SUM (6 week median),-513.4546875,39358.5,--,MIGRATION WITHOU CPE (actual),-454.786328125,7231.0,--,START_OF_WEEK (Month) (actual),383.736328125,10.0,++,NEW CUSTOMER (actual),359.017578125,7064.0,++,SKILL_OFFERED_SUM (5th lag),-355.5171875,39693.0,--,START_OF_WEEK (Day of Month) (actual),-349.402734375,14.0,--,Holidays (actual),313.031446875,0.0,++,SKILL_OFFERED_SUM (6 week max),309.6265625,43081.0,++,APPROVED,TECH_2024-10-14,5,2024,10,288,42,TECH,,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,7064,7650,7231,9080,2935,1639,1654,"2944729,857","2981982,857",10
2024-09-09,planned,2024-09-09T00:00:00Z,2024-10-21,6,43158.703125,DAY_OF_YEAR (actual),1914.45390625,295.0,+++,SKILL_OFFERED_SUM (5th lag),-1163.28828125,39693.0,--,NEW CUSTOMER (actual),-760.685546875,7627.0,--,ADDON (actual),-723.62109375,1587.0,--,START_OF_WEEK (Month) (actual),663.087890625,10.0,++,ASA (actual),-572.601171875,83.0,--,MIGRATION WITHOU CPE (actual),-498.520703125,6551.0,--,SKILL_OFFERED_SUM (velocity),-378.37578125,-1970.1666666666715,--,SKILL_OFFERED_SUM (2nd lag),-371.7953125,40836.0,--,SKILL_OFFERED_SUM (acceleration),336.501953125,-11538.0,+,APPROVED,TECH_2024-10-21,6,2024,10,295,43,TECH,,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24,0,0,0,7627,9099,6551,9524,2935,1643,1587,"2937144,571","2976110,571",10
2024-09-09,planned,2024-09-09T00:00:00Z,2024-10-28,7,46836.94140625,DAY_OF_YEAR (actual),3312.06796875,302.0,+++,ADDON (actual),-877.5546875,1592.0,--,START_OF_WEEK (Day of Month) (actual),716.063671875,28.0,++,START_OF_WEEK (Month) (actual),590.4734375,10.0,++,SKILL_OFFERED_SUM (5th lag),-510.515625,39693.0,--,WEEK_OF_YEAR (6 week mean),-424.91640625,34.5,--,NEW CUSTOMER (actual),414.903515625,9502.0,++,SKILL_OFFERED_SUM (6 week mean),372.712109375,39392.16666666666,+,MIGRATION WITHOU CPE (actual),-351.924609375,6719.0,-,MSTB (actual),317.6765625,1671.0,+,APPROVED,TECH_2024-10-28,7,2024,10,302,44,TECH,,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,34,0,0,0,9502,8777,6719,10945,6493,1671,1592,"2928245,429","2973944,429",10
2024-09-09,planned,2024-09-09T00:00:00Z,2024-11-04,8,44661.203125,ASA (actual),-3076.83515625,29.0,---,DAY_OF_YEAR (actual),1803.369140625,309.0,++,MIGRATION WITH CPE (actual),1501.4234375,10510.0,++,SKILL_OFFERED_SUM (velocity),-682.66328125,-1970.1666666666715,--,NEW CUSTOMER (actual),-644.96015625,7532.0,--,START_OF_WEEK (Month) (actual),573.932421875,11.0,++,SKILL_OFFERED_SUM (6 week median),-490.6359375,39358.5,-,MIGRATION WITHOU CPE (actual),-433.827734375,6339.0,-,SKILL_OFFERED_SUM (acceleration),377.244140625,-11538.0,+,CHURN (actual),373.302734375,8862.0,+,APPROVED,TECH_2024-11-04,8,2024,11,309,45,TECH,,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7532,10510,6339,8862,3015,1618,1663,"2924862,857","2964401,857",10
2024-09-09,planned,2024-09-09T00:00:00Z,2024-11-11,9,41103.328125,ASA (actual),-2781.96953125,29.0,---,DAY_OF_YEAR (actual),1763.05390625,316.0,++,MIGRATION WITH CPE (actual),-1418.945703125,8037.0,--,SKILL_OFFERED_SUM (5th lag),-1124.97734375,39693.0,--,SKILL_OFFERED_SUM (6 week median),-738.646484375,39358.5,--,SKILL_OFFERED_SUM (acceleration),559.713671875,-11538.0,++,NEW CUSTOMER (actual),-505.371875,7423.0,-,START_OF_WEEK (Month) (actual),498.55703125,11.0,+,SKILL_OFFERED_SUM (velocity),-471.210546875,-1970.1666666666715,-,ADDON (actual),-456.669921875,1675.0,-,APPROVED,TECH_2024-11-11,9,2024,11,316,46,TECH,,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7423,8037,6298,10109,1911,1659,1675,"2918502,857","2955614,857",10
2024-09-09,planned,2024-09-09T00:00:00Z,2024-11-18,10,46298.859375,DAY_OF_YEAR (actual),2411.278125,323.0,+++,ASA (actual),1241.946875,130.0,++,SKILL_OFFERED_SUM (6 week std),-1060.04765625,2417.210741053967,--,SKILL_OFFERED_SUM (5th lag),-996.357421875,39693.0,--,START_OF_WEEK (Month) (actual),720.646875,11.0,++,SKILL_OFFERED_SUM (acceleration),569.321484375,-11538.0,++,CHURN (actual),554.905078125,9230.0,++,SKILL_OFFERED_SUM (6 week mean),486.562109375,39392.16666666666,++,SKILL_OFFERED_SUM (velocity),-479.90390625,-1970.1666666666715,--,WEEK_OF_YEAR (6 week mean),453.917578125,34.5,++,APPROVED,TECH_2024-11-18,10,2024,11,323,47,TECH,,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7702,4955,7002,9230,3984,1571,1708,"2912587,571","2948739,571",10
2024-09-09,planned,2024-09-09T00:00:00Z,2024-11-25,11,45201.078125,DAY_OF_YEAR (actual),1566.55625,330.0,+++,SKILL_OFFERED_SUM (5th lag),-1136.730859375,39693.0,--,SKILL_OFFERED_SUM (6 week std),-894.103125,2417.210741053967,--,SKILL_OFFERED_SUM (acceleration),656.015625,-11538.0,++,START_OF_WEEK (Month) (actual),542.790625,11.0,++,ASA (actual),535.7125,115.0,++,SKILL_OFFERED_SUM (velocity),-474.566015625,-1970.1666666666715,--,SKILL_OFFERED_SUM (3rd lag),444.29765625,36376.0,++,SKILL_OFFERED_SUM (2nd lag),-424.30546875,40836.0,--,MIGRATION WITHOU CPE (actual),-390.731640625,7528.0,--,APPROVED,TECH_2024-11-25,11,2024,11,330,48,TECH,,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,8907,4871,7528,11420,1971,1657,1610,2902309,2940273,10
2024-09-09,planned,2024-09-09T00:00:00Z,2024-12-02,12,45015.74609375,DAY_OF_YEAR (actual),2099.538671875,337.0,+++,SKILL_OFFERED_SUM (6 week mean),520.600390625,39392.16666666666,++,NEW CUSTOMER (actual),510.523046875,9551.0,++,MSTB (actual),500.94765625,1704.0,++,MIGRATION WITHOU CPE (actual),-354.1546875,6479.0,--,START_OF_WEEK (Day of Month) (actual),329.143359375,2.0,++,Holidays (actual),290.1734625,0.0,++,SKILL_OFFERED_SUM (6 week std),-264.99140625,2417.210741053967,-,SKILL_OFFERED_SUM (2nd lag),-248.443359375,40836.0,-,CHURN (actual),-243.36953125,9058.0,-,APPROVED,TECH_2024-12-02,12,2024,12,337,49,TECH,,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,9551,7216,6479,9058,2839,1704,1604,"2891460,571","2929911,571",10
2024-09-09,planned,2024-09-09T00:00:00Z,2024-12-09,13,43231.48046875,DAY_OF_YEAR (actual),1909.840234375,344.0,+++,SKILL_OFFERED_SUM (5th lag),-961.635546875,39693.0,--,ADDON (actual),-669.253125,1583.0,--,SKILL_OFFERED_SUM (6 week mean),567.701171875,39392.16666666666,++,SKILL_OFFERED_SUM (acceleration),560.869921875,-11538.0,++,SKILL_OFFERED_SUM (6 week std),-472.709765625,2417.210741053967,--,SKILL_OFFERED_SUM (velocity),-435.433984375,-1970.1666666666715,--,ASA (actual),-429.915625,68.0,--,NEW CUSTOMER (actual),-391.71484375,7818.0,--,TECH SWAP (actual),382.248046875,2076.0,++,APPROVED,TECH_2024-12-09,13,2024,12,344,50,TECH,,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7818,5277,6441,9187,2076,1470,1583,"2890718,857","2924570,857",10
2024-09-09,actual,2024-09-09T00:00:00Z,2024-09-16,1,41655.140625,DAY_OF_YEAR (actual),-1216.062890625,260.0,---,ASA (actual),-607.992578125,65.0,--,SKILL_OFFERED_SUM (6 week median),-506.67421875,39358.5,--,NEW CUSTOMER (actual),495.194921875,6596.0,++,SKILL_OFFERED_SUM (acceleration),487.88671875,-11538.0,++,MIGRATION WITH CPE (actual),448.246484375,6790.0,++,SKILL_OFFERED_SUM (6 week mean),386.022265625,39392.16666666666,++,SKILL_OFFERED_SUM (5th lag),-380.076171875,39693.0,--,SKILL_OFFERED_SUM (velocity),-365.98828125,-1970.1666666666715,--,MIGRATION WITHOU CPE (actual),-341.477734375,6420.0,--,APPROVED,TECH_2024-09-16,1,2024,9,260,38,TECH,,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6596,6790,6420,7876,1923,1551,1721,"2985252,857","3018129,857",10
2024-09-09,actual,2024-09-09T00:00:00Z,2024-09-23,2,41777.625,DAY_OF_YEAR (actual),-1204.726171875,267.0,--,ADDON (actual),847.505859375,3687.0,++,NEW CUSTOMER (actual),-840.212890625,7541.0,--,ASA (actual),-821.854296875,65.0,--,SKILL_OFFERED_SUM (5th lag),-456.0515625,39693.0,--,SKILL_OFFERED_SUM (naive latest value),-418.662890625,43081.0,--,TECH SWAP (actual),385.285546875,2048.0,++,WEEK_OF_YEAR (6 week mean),373.496875,34.5,++,SKILL_OFFERED_SUM (6 week std),348.937109375,2417.210741053967,++,SKILL_OFFERED_SUM (acceleration),332.925,-11538.0,++,APPROVED,TECH_2024-09-23,2,2024,9,267,39,TECH,,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7541,8553,6194,8138,2048,1726,3687,"2975183,571","3013070,571",10
2024-09-09,actual,2024-09-09T00:00:00Z,2024-09-30,3,44668.62109375,ADDON (actual),1474.003515625,2552.0,+++,DAY_OF_YEAR (actual),-900.244140625,274.0,--,NEW CUSTOMER (actual),693.119921875,9101.0,++,MIGRATION WITH CPE (actual),674.273828125,6282.0,++,SKILL_OFFERED_SUM (5th lag),-560.188671875,39693.0,--,SKILL_OFFERED_SUM (6 week mean),540.730078125,39392.16666666666,++,ASA (actual),-535.16796875,63.0,--,MSTB (actual),516.9578125,1954.0,++,SKILL_OFFERED_SUM (6 week std),-502.51171875,2417.210741053967,--,TECH SWAP (actual),-466.128125,3120.0,--,APPROVED,TECH_2024-09-30,3,2024,9,274,40,TECH,,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9101,6282,6607,9947,3120,1954,2552,"2966638,571","3006201,571",10
2024-09-09,actual,2024-09-09T00:00:00Z,2024-10-07,4,42374.28125,DAY_OF_YEAR (actual),-1586.069140625,281.0,---,NEW CUSTOMER (actual),772.216796875,6678.0,++,SKILL_OFFERED_SUM (3rd lag),-577.327734375,36376.0,--,CHURN (actual),562.88203125,8284.0,++,ASA (actual),-528.324609375,48.0,--,SKILL_OFFERED_SUM (velocity),-472.368359375,-1970.1666666666715,--,SKILL_OFFERED_SUM (6 week median),-462.66953125,39358.5,--,MIGRATION WITH CPE (actual),429.99921875,8935.0,++,START_OF_WEEK (Month) (actual),410.14765625,10.0,++,SKILL_OFFERED_SUM (5th lag),-267.655078125,39693.0,-,APPROVED,TECH_2024-10-07,4,2024,10,281,41,TECH,,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6678,8935,6163,8284,3044,1756,1867,"2945312,143","2982039,143",10
2024-09-09,actual,2024-09-09T00:00:00Z,2024-10-14,5,42478.34375,DAY_OF_YEAR (actual),903.33828125,288.0,++,MIGRATION WITH CPE (actual),-902.801953125,7650.0,--,SKILL_OFFERED_SUM (6 week median),-513.4546875,39358.5,--,MIGRATION WITHOU CPE (actual),-454.786328125,7231.0,--,START_OF_WEEK (Month) (actual),383.736328125,10.0,++,NEW CUSTOMER (actual),359.017578125,7064.0,++,SKILL_OFFERED_SUM (5th lag),-355.5171875,39693.0,--,START_OF_WEEK (Day of Month) (actual),-349.402734375,14.0,--,Holidays (actual),313.031446875,0.0,++,SKILL_OFFERED_SUM (6 week max),309.6265625,43081.0,++,APPROVED,TECH_2024-10-14,5,2024,10,288,42,TECH,,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,7064,7650,7231,9080,2935,1639,1654,"2944729,857","2981982,857",10
